from_node,to_node,transfer_capacity_mw,network_k_nearest,edge_construction_rule
k100_0001,k100_0002,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0001,k100_0003,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0001,k100_0004,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0002,k100_0003,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0002,k100_0004,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0003,k100_0004,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0003,k100_0005,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0004,k100_0005,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0004,k100_0006,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0005,k100_0006,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0005,k100_0007,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0006,k100_0007,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0006,k100_0008,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0007,k100_0008,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0007,k100_0009,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0008,k100_0009,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0008,k100_0010,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0009,k100_0010,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0009,k100_0011,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0010,k100_0011,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0010,k100_0012,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0011,k100_0012,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0011,k100_0013,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0012,k100_0013,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0012,k100_0014,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0013,k100_0014,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0013,k100_0015,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0014,k100_0015,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0014,k100_0016,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0015,k100_0016,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0015,k100_0017,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0016,k100_0017,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0016,k100_0018,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0017,k100_0018,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0017,k100_0019,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0018,k100_0019,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0018,k100_0020,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0019,k100_0020,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0019,k100_0021,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0020,k100_0021,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0020,k100_0022,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0021,k100_0022,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0021,k100_0023,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0022,k100_0023,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0022,k100_0024,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0023,k100_0024,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0023,k100_0025,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0024,k100_0025,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0024,k100_0026,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0025,k100_0026,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0025,k100_0027,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0026,k100_0027,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0026,k100_0028,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0027,k100_0028,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0027,k100_0029,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0028,k100_0029,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0028,k100_0030,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0029,k100_0030,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0029,k100_0031,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0030,k100_0031,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0030,k100_0032,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0031,k100_0032,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0031,k100_0033,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0032,k100_0033,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0032,k100_0034,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0033,k100_0034,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0033,k100_0035,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0034,k100_0035,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0034,k100_0036,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0035,k100_0036,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0035,k100_0037,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0036,k100_0037,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0036,k100_0038,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0037,k100_0038,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0037,k100_0039,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0038,k100_0039,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0038,k100_0040,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0039,k100_0040,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0039,k100_0041,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0040,k100_0041,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0040,k100_0042,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0041,k100_0042,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0041,k100_0043,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0042,k100_0043,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0042,k100_0044,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0043,k100_0044,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0043,k100_0045,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0044,k100_0045,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0044,k100_0046,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0045,k100_0046,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0045,k100_0047,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0046,k100_0047,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0046,k100_0048,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0047,k100_0048,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0047,k100_0049,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0048,k100_0049,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0048,k100_0050,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0049,k100_0050,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0049,k100_0051,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0050,k100_0051,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0050,k100_0052,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0051,k100_0052,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0051,k100_0053,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0052,k100_0053,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0052,k100_0054,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0053,k100_0054,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0053,k100_0055,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0054,k100_0055,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0054,k100_0056,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0055,k100_0056,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0055,k100_0057,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0056,k100_0057,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0056,k100_0058,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0057,k100_0058,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0057,k100_0059,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0058,k100_0059,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0058,k100_0060,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0059,k100_0060,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0059,k100_0061,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0060,k100_0061,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0060,k100_0062,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0061,k100_0062,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0061,k100_0063,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0062,k100_0063,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0062,k100_0064,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0063,k100_0064,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0063,k100_0065,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0064,k100_0065,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0064,k100_0066,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0065,k100_0066,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0065,k100_0067,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0066,k100_0067,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0066,k100_0068,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0067,k100_0068,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0067,k100_0069,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0068,k100_0069,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0068,k100_0070,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0069,k100_0070,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0069,k100_0071,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0070,k100_0071,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0070,k100_0072,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0071,k100_0072,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0071,k100_0073,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0072,k100_0073,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0072,k100_0074,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
k100_0073,k100_0074,30.0,3,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
