node_id,area,land_use,land_use_main_class,grid_count,building_count,total_floor_area,component_count,E_annual,P_peak,load_factor,summer_peak_ratio,day_night_ratio,weekday_weekend_ratio,centroid_x,centroid_y
k100_0001,3628437.6288348,residential,residential,43,876,3628437.6288348,4,114976344.0,52645.80859375,0.2493105106607807,1.0,1.1989130621042672,2.478839583421583,0.0,0.0
k100_0002,4410148.484029084,residential,residential,37,1268,4410148.484029084,1,144097760.0,68107.125,0.2415241574465984,1.0,1.193080800135976,2.416411510579044,1.0,0.0
k100_0003,6392719.109393165,residential,residential,51,1779,6392719.109393165,3,207887008.0,98266.1875,0.2415011125500919,1.0,1.1922408510247715,2.406264746656376,2.0,0.0
k100_0004,3233284.127598973,residential,residential,36,587,3233284.127598973,1,99918760.0,47681.8203125,0.2392159331753178,1.0,1.1686443130894502,2.4029354428707075,3.0,0.0
k100_0005,5443293.804433041,residential,residential,44,2213,5443293.804433041,2,191582992.0,90216.5546875,0.2424189733465878,1.0,1.2068132538502865,2.408782143968425,4.0,0.0
k100_0006,2725213.0192200947,residential,residential,58,1102,2725213.0192200947,4,94922688.0,42894.13671875,0.2526201508313513,1.0,1.2106255697579336,2.374798520421006,5.0,0.0
k100_0007,3605670.9076146153,residential,residential,50,837,3605670.9076146153,4,115154880.0,53921.93359375,0.2437882577730673,1.0,1.1808998615646542,2.399021548322563,6.0,0.0
k100_0008,9432.72098655576,residential,residential,1,2,9432.72098655576,1,326264.5625,131.63819885253906,0.2829331713395581,1.0,1.2085847495991302,2.3238903827333512,7.0,0.0
k100_0009,6464145.769444439,residential,residential,54,1211,6464145.769444439,4,198610896.0,94294.21875,0.2404439743272041,1.0,1.1566420670938191,2.4201960832396305,8.0,0.0
k100_0010,1671865.7543448703,residential,residential,36,397,1671865.7543448703,2,51125556.0,24286.51171875,0.2403083140353057,1.0,1.1714898063200816,2.4057121281602334,9.0,0.0
k100_0011,175.0,residential,residential,1,1,175.0,1,16962.400390625,8.130035400390625,0.2381720350765421,1.0,1.5512479297133648,2.400431242741817,10.0,0.0
k100_0012,1343.544782602123,residential,residential,3,11,1343.544782602123,1,120014.828125,50.37173461914063,0.2719843370276489,1.0,1.4610617143919078,2.3139678567576314,11.0,0.0
k100_0013,1139195.1148864932,residential,residential,18,108,1139195.1148864932,1,24779664.0,9784.552734375,0.2891014892469662,1.0,1.100410831689204,2.388826785387531,12.0,0.0
k100_0014,5015680.802466375,residential,residential,42,742,5015680.802466375,1,148613488.0,69902.8671875,0.2426940514493771,1.0,1.1525902551610547,2.4070321363554834,13.0,0.0
k100_0015,4120694.656438253,residential,residential,51,2133,4120694.656438253,1,151083232.0,71193.4296875,0.2422547188405172,1.0,1.226271850682538,2.386454007523021,14.0,0.0
k100_0016,453207.2779626453,residential,residential,26,149,453207.2779626453,1,14356207.0,6504.037109375,0.2519721809647849,1.0,1.1848571614676866,2.3877299681171915,15.0,0.0
k100_0017,3867008.5058260458,residential,residential,35,470,3867008.5058260458,2,111858064.0,51623.9140625,0.2473501984500529,1.0,1.1502166670088312,2.4003984000766545,16.0,0.0
k100_0018,3951124.5399503033,residential,residential,46,1808,3951124.5399503033,2,141897280.0,64941.71875,0.2494285637412883,1.0,1.2130991780650997,2.3821155450063096,17.0,0.0
k100_0019,13536.126952480454,residential,residential,7,36,13536.126952480454,1,932511.1875,392.25103759765625,0.2713850024548818,1.0,1.360128698235382,2.296754017815516,18.0,0.0
k100_0020,373488.0739943619,residential,residential,23,190,373488.0739943619,1,11140446.0,4590.70556640625,0.2770250438767439,1.0,1.2028472143403173,2.3611525455638183,19.0,0.0
k100_0021,48489.35299043611,residential,residential,8,20,48489.35299043611,2,1536137.625,671.0408325195312,0.2613226615606272,1.0,1.199243290430337,2.3678836605681317,20.0,0.0
k100_0022,802.697808682803,residential,residential,1,5,802.697808682803,1,69645.1171875,31.315956115722656,0.2538755583237747,1.0,1.5176341639615754,2.356072767192269,21.0,0.0
k100_0023,3078845.189385907,residential,residential,32,1083,3078845.189385907,1,104014400.0,48868.7734375,0.2429729481449684,1.0,1.194388476532239,2.397164178675504,22.0,0.0
k100_0024,4944271.469871994,residential,residential,42,2265,4944271.469871994,2,180330496.0,83103.7734375,0.2477104493316736,1.0,1.2092245142218636,2.3929465739857125,23.0,0.0
k100_0025,2736090.6456489926,residential,residential,27,337,2736090.6456489926,1,78399008.0,38046.6953125,0.2352282734145436,1.0,1.146152185139066,2.4226179936289607,24.0,0.0
k100_0026,175.0,residential,residential,1,2,175.0,1,18556.1875,8.446354866027832,0.250792948898254,1.0,1.553367586006258,2.370097414546116,25.0,0.0
k100_0027,107418.33209693152,residential,residential,3,26,107418.33209693152,1,3544378.0,1694.2508544921875,0.2388131365894255,1.0,1.1953525305026382,2.3992846343113707,26.0,0.0
k100_0028,582621.1211562789,residential,residential,61,658,582621.1211562789,2,24678260.0,10460.708984375,0.269308033733131,1.0,1.2822372088601437,2.334606194156948,27.0,0.0
