storage_family,scenario,parameter,value
battery,default,eta_ch,0.95
battery,default,eta_dis,0.95
battery,default,capex_power_yuan_per_kW,700.0
battery,default,capex_energy_yuan_per_kWh,1200.0
battery,default,lifetime_years,12.0
battery,default,om_fix_fraction,0.02
battery,default,dod_max,0.8
battery,default,roundtrip_efficiency,0.9025
battery,low,capex_power_yuan_per_kW,500.0
battery,low,capex_energy_yuan_per_kWh,1000.0
battery,low,eta_ch,0.95
battery,low,eta_dis,0.95
battery,low,lifetime_years,12.0
battery,low,om_fix_fraction,0.015
battery,low,dod_max,0.8
battery,base,capex_power_yuan_per_kW,700.0
battery,base,capex_energy_yuan_per_kWh,1200.0
battery,base,eta_ch,0.95
battery,base,eta_dis,0.95
battery,base,lifetime_years,12.0
battery,base,om_fix_fraction,0.02
battery,base,dod_max,0.8
battery,high,capex_power_yuan_per_kW,900.0
battery,high,capex_energy_yuan_per_kWh,1400.0
battery,high,eta_ch,0.93
battery,high,eta_dis,0.93
battery,high,lifetime_years,10.0
battery,high,om_fix_fraction,0.025
battery,high,dod_max,0.75
ldes,default,ldes_h_max,24.0
ldes,default,ldes_eta_ch,0.82
ldes,default,ldes_eta_dis,0.82
ldes,default,ldes_power_capex_yuan_per_kw,1600.0
ldes,default,ldes_energy_capex_yuan_per_kwh,240.0
ldes,default,ldes_lifetime_years,25.0
