technology,scenario,parameter,value,unit
pv,low,capex_yuan_per_kW,4000.0,CNY/kW
pv,low,om_fix_fraction,0.01,fraction
pv,low,lifetime_years,25.0,years
pv,low,degradation_fraction_per_year,0.005,fraction
pv,base,capex_yuan_per_kW,5000.0,CNY/kW
pv,base,om_fix_fraction,0.015,fraction
pv,base,lifetime_years,25.0,years
pv,base,degradation_fraction_per_year,0.006,fraction
pv,high,capex_yuan_per_kW,6000.0,CNY/kW
pv,high,om_fix_fraction,0.02,fraction
pv,high,lifetime_years,25.0,years
pv,high,degradation_fraction_per_year,0.007,fraction
wind,low,capex_yuan_per_kW,9000.0,CNY/kW
wind,low,om_fix_yuan_per_kW_per_year,200.0,CNY/kW
wind,low,lifetime_years,25.0,years
wind,base,capex_yuan_per_kW,10000.0,CNY/kW
wind,base,om_fix_yuan_per_kW_per_year,250.0,CNY/kW
wind,base,lifetime_years,25.0,years
wind,high,capex_yuan_per_kW,11000.0,CNY/kW
wind,high,om_fix_yuan_per_kW_per_year,300.0,CNY/kW
wind,high,lifetime_years,25.0,years
bess,low,capex_power_yuan_per_kW,500.0,CNY/kW
bess,low,capex_energy_yuan_per_kWh,1000.0,CNY/kW
bess,low,eta_ch,0.95,fraction
bess,low,eta_dis,0.95,fraction
bess,low,lifetime_years,12.0,years
bess,low,om_fix_fraction,0.015,fraction
bess,low,dod_max,0.8,fraction
bess,base,capex_power_yuan_per_kW,700.0,CNY/kW
bess,base,capex_energy_yuan_per_kWh,1200.0,CNY/kW
bess,base,eta_ch,0.95,fraction
bess,base,eta_dis,0.95,fraction
bess,base,lifetime_years,12.0,years
bess,base,om_fix_fraction,0.02,fraction
bess,base,dod_max,0.8,fraction
bess,high,capex_power_yuan_per_kW,900.0,CNY/kW
bess,high,capex_energy_yuan_per_kWh,1400.0,CNY/kW
bess,high,eta_ch,0.93,fraction
bess,high,eta_dis,0.93,fraction
bess,high,lifetime_years,10.0,years
bess,high,om_fix_fraction,0.025,fraction
bess,high,dod_max,0.75,fraction
