experiment_id,run_id,fixed_baseline_cap_ratio,technology_set,edge_id,src_node,dst_node,src_centroid_x,src_centroid_y,dst_centroid_x,dst_centroid_y,distance,network_k_nearest,transfer_cap_mw,edge_construction_rule
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,0,k100_0001,k100_0002,0.0,0.0,1.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,1,k100_0001,k100_0003,0.0,0.0,2.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,2,k100_0001,k100_0004,0.0,0.0,3.0,0.0,3.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,3,k100_0002,k100_0003,1.0,0.0,2.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,4,k100_0002,k100_0004,1.0,0.0,3.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,5,k100_0003,k100_0004,2.0,0.0,3.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,6,k100_0003,k100_0005,2.0,0.0,4.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,7,k100_0004,k100_0005,3.0,0.0,4.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,8,k100_0004,k100_0006,3.0,0.0,5.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,9,k100_0005,k100_0006,4.0,0.0,5.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,10,k100_0005,k100_0007,4.0,0.0,6.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,11,k100_0006,k100_0007,5.0,0.0,6.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,12,k100_0006,k100_0008,5.0,0.0,7.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,13,k100_0007,k100_0008,6.0,0.0,7.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,14,k100_0007,k100_0009,6.0,0.0,8.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,15,k100_0008,k100_0009,7.0,0.0,8.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,16,k100_0008,k100_0010,7.0,0.0,9.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,17,k100_0009,k100_0010,8.0,0.0,9.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,18,k100_0009,k100_0011,8.0,0.0,10.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,19,k100_0010,k100_0011,9.0,0.0,10.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,20,k100_0010,k100_0012,9.0,0.0,11.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,21,k100_0011,k100_0012,10.0,0.0,11.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,22,k100_0011,k100_0013,10.0,0.0,12.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,23,k100_0012,k100_0013,11.0,0.0,12.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,24,k100_0012,k100_0014,11.0,0.0,13.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,25,k100_0013,k100_0014,12.0,0.0,13.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,26,k100_0013,k100_0015,12.0,0.0,14.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,27,k100_0014,k100_0015,13.0,0.0,14.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,28,k100_0014,k100_0016,13.0,0.0,15.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,29,k100_0015,k100_0016,14.0,0.0,15.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,30,k100_0015,k100_0017,14.0,0.0,16.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,31,k100_0016,k100_0017,15.0,0.0,16.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,32,k100_0016,k100_0018,15.0,0.0,17.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,33,k100_0017,k100_0018,16.0,0.0,17.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,34,k100_0017,k100_0019,16.0,0.0,18.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,35,k100_0018,k100_0019,17.0,0.0,18.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,36,k100_0018,k100_0020,17.0,0.0,19.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,37,k100_0019,k100_0020,18.0,0.0,19.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,38,k100_0019,k100_0021,18.0,0.0,20.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,39,k100_0020,k100_0021,19.0,0.0,20.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,40,k100_0020,k100_0022,19.0,0.0,21.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,41,k100_0021,k100_0022,20.0,0.0,21.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,42,k100_0021,k100_0023,20.0,0.0,22.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,43,k100_0022,k100_0023,21.0,0.0,22.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,44,k100_0022,k100_0024,21.0,0.0,23.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,45,k100_0023,k100_0024,22.0,0.0,23.0,0.0,1.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
R2D_network_abstraction_revised,r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,0.4,base_with_storage_degradation,46,k100_0023,k100_0025,22.0,0.0,24.0,0.0,2.0,3,30.0,undirected k-nearest-neighbour links from node centroids with uniform transfer-capacity bound
