dataset_id,spatial_resolution,temporal_mode,weights_csv,use_existing_weights,n_rep_days,grid_carbon_scenario,technology_set,storage_model,bess_degradation_mode,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,load_shedding_penalty_yuan_per_kwh,compute_reference_context,experiment_id,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton,co2_cap_ratio,run_id,storage_model_label,bess_degradation_cost_yuan_per_kwh,h_max_liion,enable_ldes,flex_case,dr_fraction,thermal_flex_fraction,ev_mode,ev_penetration,network_mode,allow_large_spatial_transfer_proxy,network_k_nearest,transfer_cap_mw,solver_method,solver_name,solver_time_limit_seconds
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2A_fixed_absolute_cap_core_0001_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix1p00,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2A_fixed_absolute_cap_core_0002_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2A_fixed_absolute_cap_core_0003_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2A_fixed_absolute_cap_core_0004_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p15,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,baseline,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2A_fixed_absolute_cap_core_0005_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2030,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2A_fixed_absolute_cap_core_0006_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix1p00,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2030,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2A_fixed_absolute_cap_core_0007_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p40,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2030,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.25,1206806.8389438915,0.25,r2_R2A_fixed_absolute_cap_core_0008_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p25,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2030,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.15,724084.1033663348,0.15,r2_R2A_fixed_absolute_cap_core_0009_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p15,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2030,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.14,675811.8298085793,0.14,r2_R2A_fixed_absolute_cap_core_0010_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p14,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2050,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,1.0,4827227.355775566,1.0,r2_R2A_fixed_absolute_cap_core_0011_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix1p00,,,,,,,,,,,,,,,,
xinwu_k100,k100,repday_opt,workflow/03_formulation/outputs/weights_k100_typical.csv,True,8,2050,base_with_storage_degradation,liion_4h_with_degradation,throughput_plus_calendar,12.0,0.05,0.05,100000.0,True,R2A_fixed_absolute_cap_core,4827227.355775566,0.4,1930890.9423102264,0.4,r2_R2A_fixed_absolute_cap_core_0012_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p40,,,,,,,,,,,,,,,,
