lhs_sample_id,fixed_baseline_cap_ratio,demand_scale,PV_potential_scale,PV_capacity_factor_scale,wind_potential_scale,wind_capacity_factor_scale,grid_existing_capacity_scale,grid_carbon_factor_scale,PV_capex,wind_capex,BESS_power_capex,BESS_energy_capex,BESS_degradation_cost,TOU_price_scale,DR_fraction,experiment_id,run_id,dataset_id,spatial_resolution,temporal_mode,technology_set,grid_carbon_scenario,co2_cap_ratio,objective_name,solver_name,solver_status,objective_value,solver_objective_value,is_valid_result,invalid_reason,runtime_seconds,timestamp,git_commit,input_hash,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,actual_emissions_mt,total_system_cost_billion_cny
0,0.25,1.0202452984761474,1.107467918865382,1.0342771715202272,0.9924355837124677,1.084342402005821,0.8284142314931632,1.1134828440035733,4240.852378159638,9665.193137911021,992.6728370803287,1351.9776603452428,0.11521651687113886,1.1169143292991413,0.02739317901378541,R3D_revised_uncertainty_lhs,r3d_001_lhs000_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2200654529942273,min_cost,scipy-linprog-highs,optimal,7262723984.629932,7262723984.6298895,True,,26.73006390000228,2026-06-05T09:02:39.383634+00:00,f614d91,350bbc49bf590024292baa07b4a8b6774960db124897cc8837bb74b971f1f003,5083.164297698704,475.41186755055855,3127.1352497396965,12508.540998958786,0.0,0.0,0.0,3190.4399483045013,5483854.110329384,2669274.8478170647,649174.6017901977,1206806.8389438917,1206806.838943889,0.7799345470057731,0.5478896300503426,0.0,0.0,2009683647.274024,478300631.72947854,432346849.3798578,2355351169.2792163,765391513.776585,0.0,0.0,0.0,1220454069.65189,0.0,1196103.5388812523,0.0,0.0,0.0,7262723984.629932,1104624.253214309,197770.29708002703,5160542.99522336,1183057.4862118044,2629209.826192455,2711075.043530128,5340284.869722582,270.92238852594784,615289021.7890795,150102491.98750544,4.0,4.0,0.0,0.0,0.0,1813002.161691453,1685.2009871376688,29902.58847203131,39.80101255298009,0.0,0.0,0.0,0.0,1.2068068389438888,7.2627239846299325
1,0.25,0.9468381648932956,1.1631610219520863,1.0778381564469313,1.049930227123638,1.0498350210529779,1.1183382284848509,1.0452025286758433,4252.373428442343,11993.078761598765,885.5199353095318,1332.3773359796685,0.06046678893056903,1.0659061542940838,0.07752920213021385,R3D_revised_uncertainty_lhs,r3d_002_lhs001_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2526177212080259,min_cost,scipy-linprog-highs,optimal,5693398525.358987,5693398525.358999,True,,37.49067180001293,2026-06-05T09:03:29.284013+00:00,f614d91,4cc4c896b4d3853ce8234e636ef8a7c494e522c5408aa17c047c3d428d9c61a6,4259.062341036982,463.00888164447525,2180.841212188333,8723.364848753332,0.0,0.0,0.0,4307.013115217833,4777205.784190052,2182002.4534148434,439752.5480111837,1206806.8389438917,1206806.8389438917,0.747382278791974,0.4469269101621614,2.3283064365386963e-10,1.9293116026556983e-16,1688440609.755566,550137519.242856,268968786.4576479,1618790953.7546818,421318420.0036762,0.0,0.0,0.0,1142885842.160023,0.0,2856393.98453579,0.0,0.0,0.0,5693398525.358987,847846.4736589943,134420.47704822625,4622680.120990818,1167586.871709378,2656281.564715985,2580279.652090413,5236561.216806399,369.73686427594,316638041.81863624,104680378.18503997,4.0,4.0,0.0,0.0,0.0,1931440.7952517688,2229.553885339779,71409.84961339475,135.10399965210678,0.0,0.0,0.0,0.0,1.2068068389438917,5.693398525358987
2,0.25,1.029478510530055,0.9218182446810225,0.956273901856661,1.1400556873489016,0.8976969162296972,1.1324449084309531,0.8456814431234648,5885.763473693107,9792.753937509833,754.1353658869077,1370.7407519088433,0.10264312561038769,0.9779974544572387,0.1268318215838627,R3D_revised_uncertainty_lhs,r3d_003_lhs002_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2871546844825406,min_cost,scipy-linprog-highs,optimal,7642533033.299597,7642533033.299669,True,,29.430832599988207,2026-06-05T09:04:11.795170+00:00,f614d91,46b7f6510c8b0b8fd5d7a43e04b92da5c7958621d3ecf6d5789293cbd0d005df,4638.665862833086,610.7507922257566,2808.0790687204094,11232.316274881638,0.0,0.0,0.0,4361.341630502837,4202636.781352132,2559798.928420656,719809.146655004,1206806.8389438917,1206806.8389438863,0.7128453155174606,0.5285540494821358,0.0,0.0,2545284260.5573964,620556397.8999852,294943028.5835609,2144391827.031914,618996246.3327191,0.0,0.0,0.0,1413371360.6449504,0.0,4989912.24907121,0.0,0.0,0.0,7642533033.299597,729770.7831753208,180702.3251240537,4556348.710450085,1287875.0381411356,2317859.8887019865,2399537.873249416,4717397.761951402,267.0350681158483,484208451.03413945,134787795.29857963,4.0,4.0,0.0,0.0,0.0,2387124.39488884,1915.1932170565328,124747.80622678025,185.3393460141159,0.0,0.0,0.0,0.0,1.2068068389438864,7.642533033299597
3,0.25,1.0925036201458174,0.893848587294342,0.9908941189459829,0.7823781059892887,1.0215522220652187,1.1110056688510088,1.0017003248018934,5677.443507712183,9507.240025182955,597.1240707126886,1045.5697212625528,0.04669846376172439,0.876729934321612,0.006617466155859836,R3D_revised_uncertainty_lhs,r3d_004_lhs003_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2284437552953322,min_cost,scipy-linprog-highs,optimal,8447826637.488567,8447826637.488545,True,,45.46772850002162,2026-06-05T09:05:09.318714+00:00,f614d91,d3cef5280665769b64bf13c4eb3ca4278ec2b21602ecd84745f9ffeb45f5de3f,4569.751560533059,588.3116232816687,5655.8806167206,22623.5224668824,0.0,0.0,0.0,4278.773509607764,5282730.698345116,2974193.924199822,1056505.3193483655,1206806.8389438917,1206806.838943887,0.7715562447046685,0.5942407019513475,0.0,0.0,2418721180.709449,584617135.964301,470375082.4945364,3294524324.270969,567181151.9918334,0.0,0.0,0.0,1112083021.2491107,0.0,324740.8083685923,0.0,0.0,0.0,8447826637.488567,490538.2020450729,212495.49801837865,4905579.615430246,1397301.299343445,2914169.014234654,3417921.135411966,6332090.149646619,188.84775461111957,295698882.3892446,271482269.6025888,4.0,4.0,0.0,0.0,0.0,2015320.1044275097,2533.183146518726,8118.5202092148065,10.188190915900613,0.0,0.0,0.0,0.0,1.206806838943887,8.447826637488568
4,0.25,1.019916995360033,1.1362926145577537,1.0046455197190969,1.1297362978042238,1.1384713800926252,0.9220024338514163,1.1563382842142798,4896.30232369454,10700.984034475046,801.3721733887714,1024.7430116068322,0.04557585897840559,0.9154915124109397,0.03406819084052316,R3D_revised_uncertainty_lhs,r3d_005_lhs004_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2119777453877791,min_cost,scipy-linprog-highs,optimal,6495128813.7554865,6495128813.755566,True,,28.234752300020773,2026-06-05T09:05:49.725028+00:00,f614d91,a307ce21b0e18f4cca9ab4e70a8c7d1a2f3b481e9e1f23aa0c3e47f8a26ed972,5260.201069248214,457.0583445779906,3286.5232476753195,13146.092990701278,0.0,0.0,0.0,3550.872601610797,5693082.718359103,2834276.6513510053,670273.3019386048,1206806.8389438917,1206806.8389438922,0.7880222546122208,0.5742099352338639,6.984919309616089e-10,5.787934807967094e-16,2401103977.6043587,496869434.7928816,366817850.73929685,1876251966.614639,414098223.22022855,0.0,0.0,0.0,938721702.3622514,0.0,1265658.421830787,0.0,0.0,0.0,6495128813.755487,1098909.0830139923,194382.7980624285,5198715.674749584,1199405.510194373,2766347.587068605,2858233.3441053457,5624580.931173951,271.7759324126834,256345107.3318132,157753115.88841534,4.0,4.0,0.0,0.0,0.0,1745809.8817134204,2459.495201566853,31641.46054576968,52.42434556238645,0.0,0.0,0.0,0.0,1.2068068389438922,6.495128813755487
5,0.25,0.9588164330287234,0.867787317203084,1.0322948398875165,0.8384471937667671,1.0697957066918795,1.133561699564851,1.1021006921875314,5467.963179423503,11079.495152211133,660.3821324764995,1136.7578561270302,0.11111233013073289,0.863276790595161,0.01223549347201647,R3D_revised_uncertainty_lhs,r3d_006_lhs005_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2365828588750016,min_cost,scipy-linprog-highs,optimal,6922682469.653267,6922682469.653244,True,,27.614137099997606,2026-06-05T09:06:29.367803+00:00,f614d91,6744a2db19d38756d62219f21c249086882b397d95d63546a45ae60592c779a4,4360.534013247512,458.4669483796998,3433.642413299712,13734.569653198849,0.0,0.0,0.0,4365.642685352024,5100990.176052894,3123083.943514948,793451.0230263195,1206806.8389438917,1206806.838943892,0.7634171411249984,0.6135848857185495,4.656612873077393e-10,3.8586232053113965e-16,2222826963.334414,511975792.8180487,315812906.3494362,2174515540.041855,724739077.2957944,0.0,0.0,0.0,972298188.379829,0.0,514001.43388969626,0.0,0.0,0.0,6922682469.653267,829763.3343426572,179975.33482784565,4534437.354825822,1133772.278925828,2398384.278772063,2640878.6077015693,5039262.886473632,240.3495954354944,559924241.4574082,164814835.83838618,4.0,4.0,0.0,0.0,0.0,1831726.2819043084,1905.40447988276,12850.035847242403,16.707213544046517,0.0,0.0,0.0,0.0,1.206806838943892,6.9226824696532665
6,0.25,1.0041394411939808,0.9344146687583169,0.9635029291535211,1.0172160208664622,0.824543567310381,0.9362207830116892,1.1768705303246612,4177.087772392948,11529.815322891453,900.6891122195241,1196.4354382968086,0.07272933540884052,1.0257274332527309,0.03809548961305768,R3D_revised_uncertainty_lhs,r3d_007_lhs006_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2115520813848424,min_cost,scipy-linprog-highs,optimal,8093227437.825164,8093227437.825187,True,,41.69312790001277,2026-06-05T09:07:23.460325+00:00,f614d91,825ae5e556fb02f9f6b0fd313fdcb9cc3fc1d7ed90fcd804e4e155a946256b89,4753.434546344013,603.9796206459125,4832.17852705545,19328.7141082218,0.0,0.0,0.0,3605.631184256236,5704537.771710898,2958632.9679871,964940.994957684,1206806.8389438917,1206806.838943888,0.7884479186151582,0.5921066073413843,0.0,0.0,1851064345.2813363,695748051.2539591,606174104.0451113,3220859095.632652,674016949.2735562,0.0,0.0,0.0,1043722455.6497432,0.0,1642436.6888061415,0.0,0.0,0.0,8093227437.825164,602052.0320880526,137984.88349001863,4855804.8112171525,1195963.270229753,2868514.778869309,3209808.0531740477,6078322.832043357,207.58028930444345,442072379.9748947,231944569.2986616,4.0,4.0,0.0,0.0,0.0,1715351.647583457,2150.3069874092976,41060.91722015354,53.90760310294584,0.0,0.0,0.0,0.0,1.206806838943888,8.093227437825163
7,0.25,0.9809043726300977,1.0478883793672484,1.092440131961474,1.1370008995819116,0.8149470093678791,1.0962569743016148,0.9016578937264242,6253.436327620559,9967.280875228244,709.0256530813883,1212.8354473696681,0.05954497186604062,0.8612071957873657,0.05502451704743203,R3D_revised_uncertainty_lhs,r3d_008_lhs007_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2826646743942801,min_cost,scipy-linprog-highs,optimal,6132630024.029297,6132630024.029291,True,,54.436126700020395,2026-06-05T09:08:30.245687+00:00,f614d91,fcbdf466a7a24f826c4ad90de966041eff6c61b0232e78352c5f3f3ee7408254,4024.850407997304,611.0045400787823,2082.8654348539994,8331.461739415998,0.0,0.0,0.0,4221.972428111477,4269393.90827647,2614070.68599155,479751.98778700834,1206806.8389438917,1206806.8389438875,0.7173353256057209,0.5383419257134088,0.0,0.0,2346436858.9085627,629156062.7714552,205685016.8881928,1407351502.110988,362253427.5296924,0.0,0.0,0.0,1179352398.271821,0.0,2394757.548584681,0.0,0.0,0.0,6132630024.029297,771224.1468141121,126187.04567690282,4468506.621153853,1207570.4250586089,2199441.5672571464,2205227.3483105213,4404668.915567667,330.858410157132,262275886.6567004,99977540.87299198,4.0,4.0,0.0,0.0,0.0,2238927.665615646,2090.110706753624,59868.93871461702,89.27910497960809,0.0,0.0,0.0,0.0,1.2068068389438875,6.132630024029297
8,0.25,0.9988390714013488,1.058007958565819,1.000057027850744,0.9631118266585166,0.9882777613152611,0.8337747271852037,1.058357163619257,5657.838537309519,9344.726782747704,563.0006206866138,1016.5539645004336,0.02559508708757894,0.9891088442165044,0.14562139375872168,R3D_revised_uncertainty_lhs,r3d_009_lhs008_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.236489699113984,min_cost,scipy-linprog-highs,optimal,6375024719.334152,6375024719.334208,True,,44.35816089998116,2026-06-05T09:09:27.593300+00:00,f614d91,9f472acf0966f0401b39742953d9aee1660a76b29ce025d4f7b63d1742d0f8fb,4908.307471755648,513.0209042531021,3090.523677987205,12362.09471194882,0.0,0.0,0.0,3211.0846197121555,5102999.595607042,2567847.0746289697,661358.1516535741,1206806.8389438917,1206806.8389438922,0.7635103008860159,0.5300316553631743,6.984919309616089e-10,5.787934807967094e-16,2588944296.4735107,503277256.6418863,242337400.0153706,1750257713.264434,303296307.12895846,0.0,0.0,0.0,982599978.0514096,0.0,4311767.758582043,0.0,0.0,0.0,6375024719.334152,916350.7908137804,189813.0517891059,4933140.643685985,1168241.2702001254,2998572.6862464417,3055369.2306290413,6053941.916875483,308.94533873735566,154951170.58557257,148345136.54338586,4.0,4.0,0.0,0.0,0.0,1907434.345019536,2786.260401497563,107794.19396455109,194.96585440961792,0.0,0.0,0.0,0.0,1.2068068389438922,6.375024719334152
9,0.25,1.0995095869640787,1.1451585832306885,0.9314229789428762,0.7325462868481623,0.9833823076460657,1.0449924826835766,1.0129463724595547,6352.260462352916,10801.26425919237,505.8121833848068,1182.7068124805648,0.07748115553986673,1.1234812456747147,0.10842116957538679,R3D_revised_uncertainty_lhs,r3d_010_lhs009_capfix0p25,xinwu_k100,k100,repday_opt,base_with_storage_degradation,baseline,0.2244680484710635,min_cost,scipy-linprog-highs,optimal,9063415303.986862,9063415303.986801,True,,53.02852940000594,2026-06-05T09:10:33.764820+00:00,f614d91,f56ab0a7c35d16c3bb8df3e899aaf1503d7b174ea89278b73e91185c7e9ac2a2,5669.155100617576,490.8668343047473,4334.823208349742,17339.29283339897,0.0,0.0,0.0,4024.53945826388,5376296.747639176,2924207.056200574,859769.303975739,1206806.8389438917,1206806.838943888,0.7755319515289372,0.5873045869358193,0.0,0.0,3357275896.335035,537473391.2310302,305379704.8234544,2856195790.865185,691920765.1054378,0.0,0.0,0.0,1310876735.1042423,0.0,4293020.522478952,0.0,0.0,0.0,9063415303.986862,902499.9249457666,150401.90629044027,5390052.8948860895,1142570.1458950131,2945888.536698308,3298846.0408041268,6244734.577502435,237.8157858354152,483849251.1046501,208071514.0007876,4.0,4.0,0.0,0.0,0.0,1992945.3898759373,2494.394034923234,107325.5130619738,169.75514821440035,0.0,0.0,0.0,0.0,1.206806838943888,9.063415303986861
