parameter,prcc,target,n_samples,fixed_baseline_cap_ratio,source_valid_runs_only,source_valid_run_count
demand_scale,0.8793587052962066,total_system_cost,31,0.14,True,31
grid_carbon_factor_scale,0.8394263529406596,total_system_cost,31,0.14,True,31
PV_capacity_factor_scale,-0.8286840970954029,total_system_cost,31,0.14,True,31
PV_potential_scale,-0.8178322970694843,total_system_cost,31,0.14,True,31
BESS_energy_capex,0.7225984770011736,total_system_cost,31,0.14,True,31
PV_capex,0.603065154891438,total_system_cost,31,0.14,True,31
BESS_degradation_cost,0.4835377835434016,total_system_cost,31,0.14,True,31
grid_existing_capacity_scale,-0.40303930593857235,total_system_cost,31,0.14,True,31
DR_fraction,0.3883695534743763,total_system_cost,31,0.14,True,31
BESS_power_capex,0.38779013907544624,total_system_cost,31,0.14,True,31
wind_capacity_factor_scale,-0.31418822737281316,total_system_cost,31,0.14,True,31
wind_capex,0.26828635628013103,total_system_cost,31,0.14,True,31
wind_potential_scale,0.17232739031005095,total_system_cost,31,0.14,True,31
TOU_price_scale,0.05841326937168424,total_system_cost,31,0.14,True,31
BESS_energy_capex,-0.6257230606050856,actual_emissions_ton,31,0.14,True,31
PV_potential_scale,0.5937284889237447,actual_emissions_ton,31,0.14,True,31
grid_existing_capacity_scale,0.5528344158710742,actual_emissions_ton,31,0.14,True,31
demand_scale,-0.41553061138894654,actual_emissions_ton,31,0.14,True,31
DR_fraction,-0.3423628141730497,actual_emissions_ton,31,0.14,True,31
wind_capex,-0.24460220663404308,actual_emissions_ton,31,0.14,True,31
TOU_price_scale,0.22295174476288188,actual_emissions_ton,31,0.14,True,31
BESS_power_capex,-0.20222498925889967,actual_emissions_ton,31,0.14,True,31
wind_capacity_factor_scale,-0.16789911920161954,actual_emissions_ton,31,0.14,True,31
grid_carbon_factor_scale,-0.1424062752018779,actual_emissions_ton,31,0.14,True,31
PV_capex,-0.09680211070905288,actual_emissions_ton,31,0.14,True,31
PV_capacity_factor_scale,0.06455459883230313,actual_emissions_ton,31,0.14,True,31
BESS_degradation_cost,0.04288144774632165,actual_emissions_ton,31,0.14,True,31
wind_potential_scale,0.02374250219541477,actual_emissions_ton,31,0.14,True,31
grid_carbon_factor_scale,0.8472878101182542,bess_energy_mwh,31,0.14,True,31
demand_scale,0.8425570556338957,bess_energy_mwh,31,0.14,True,31
PV_potential_scale,-0.8249962315683751,bess_energy_mwh,31,0.14,True,31
PV_capacity_factor_scale,-0.6413187601124454,bess_energy_mwh,31,0.14,True,31
wind_capacity_factor_scale,-0.43613802749204084,bess_energy_mwh,31,0.14,True,31
grid_existing_capacity_scale,-0.33245121470654826,bess_energy_mwh,31,0.14,True,31
BESS_power_capex,0.24649922053132808,bess_energy_mwh,31,0.14,True,31
DR_fraction,0.2127171943979842,bess_energy_mwh,31,0.14,True,31
BESS_energy_capex,-0.20645949634191127,bess_energy_mwh,31,0.14,True,31
TOU_price_scale,0.1299508196088822,bess_energy_mwh,31,0.14,True,31
BESS_degradation_cost,0.10783545413152702,bess_energy_mwh,31,0.14,True,31
wind_capex,0.09887925464644036,bess_energy_mwh,31,0.14,True,31
wind_potential_scale,-0.051413394183829765,bess_energy_mwh,31,0.14,True,31
PV_capex,0.03851538780303005,bess_energy_mwh,31,0.14,True,31
grid_carbon_factor_scale,-1.0,grid_import_mwh,31,0.14,True,31
demand_scale,,grid_import_mwh,31,0.14,True,31
PV_potential_scale,,grid_import_mwh,31,0.14,True,31
PV_capacity_factor_scale,,grid_import_mwh,31,0.14,True,31
wind_potential_scale,,grid_import_mwh,31,0.14,True,31
wind_capacity_factor_scale,,grid_import_mwh,31,0.14,True,31
grid_existing_capacity_scale,,grid_import_mwh,31,0.14,True,31
PV_capex,,grid_import_mwh,31,0.14,True,31
wind_capex,,grid_import_mwh,31,0.14,True,31
BESS_power_capex,,grid_import_mwh,31,0.14,True,31
BESS_energy_capex,,grid_import_mwh,31,0.14,True,31
BESS_degradation_cost,,grid_import_mwh,31,0.14,True,31
TOU_price_scale,,grid_import_mwh,31,0.14,True,31
DR_fraction,,grid_import_mwh,31,0.14,True,31
demand_scale,0.9654778113349121,total_system_cost,60,0.25,True,60
grid_carbon_factor_scale,0.8884729010161292,total_system_cost,60,0.25,True,60
PV_potential_scale,-0.8248530484589566,total_system_cost,60,0.25,True,60
PV_capex,0.778204326266547,total_system_cost,60,0.25,True,60
PV_capacity_factor_scale,-0.7572260275882117,total_system_cost,60,0.25,True,60
BESS_energy_capex,0.7502854188410217,total_system_cost,60,0.25,True,60
BESS_degradation_cost,0.5622694411320895,total_system_cost,60,0.25,True,60
wind_capacity_factor_scale,-0.42406846258955355,total_system_cost,60,0.25,True,60
TOU_price_scale,0.402635930780557,total_system_cost,60,0.25,True,60
BESS_power_capex,0.30095125873649764,total_system_cost,60,0.25,True,60
wind_capex,0.25747150534264623,total_system_cost,60,0.25,True,60
wind_potential_scale,-0.19936100808869361,total_system_cost,60,0.25,True,60
grid_existing_capacity_scale,0.12534358944793117,total_system_cost,60,0.25,True,60
DR_fraction,-0.002027024042185215,total_system_cost,60,0.25,True,60
grid_existing_capacity_scale,-0.25895580623565967,actual_emissions_ton,60,0.25,True,60
PV_capacity_factor_scale,-0.24748774444025637,actual_emissions_ton,60,0.25,True,60
wind_capacity_factor_scale,0.23897484828464738,actual_emissions_ton,60,0.25,True,60
wind_potential_scale,0.17362729128308368,actual_emissions_ton,60,0.25,True,60
BESS_energy_capex,0.16227919219909703,actual_emissions_ton,60,0.25,True,60
grid_carbon_factor_scale,-0.11165307468296029,actual_emissions_ton,60,0.25,True,60
PV_capex,-0.0740474523577952,actual_emissions_ton,60,0.25,True,60
TOU_price_scale,0.06830225340084782,actual_emissions_ton,60,0.25,True,60
demand_scale,0.044401960470112974,actual_emissions_ton,60,0.25,True,60
BESS_power_capex,-0.0411133053924237,actual_emissions_ton,60,0.25,True,60
wind_capex,0.0331211754346247,actual_emissions_ton,60,0.25,True,60
DR_fraction,0.028413326377805446,actual_emissions_ton,60,0.25,True,60
PV_potential_scale,0.002701277875087731,actual_emissions_ton,60,0.25,True,60
BESS_degradation_cost,-0.0007487900613021317,actual_emissions_ton,60,0.25,True,60
demand_scale,0.958991330161327,bess_energy_mwh,60,0.25,True,60
grid_carbon_factor_scale,0.9432434120689982,bess_energy_mwh,60,0.25,True,60
PV_potential_scale,-0.8751401899294968,bess_energy_mwh,60,0.25,True,60
PV_capacity_factor_scale,-0.6213269092292023,bess_energy_mwh,60,0.25,True,60
BESS_power_capex,-0.19726400298656854,bess_energy_mwh,60,0.25,True,60
BESS_degradation_cost,-0.16093902171407518,bess_energy_mwh,60,0.25,True,60
DR_fraction,0.1566845829055136,bess_energy_mwh,60,0.25,True,60
TOU_price_scale,0.15118206502961354,bess_energy_mwh,60,0.25,True,60
grid_existing_capacity_scale,0.09730993327998243,bess_energy_mwh,60,0.25,True,60
wind_potential_scale,-0.07743384009124213,bess_energy_mwh,60,0.25,True,60
PV_capex,0.07216841497285077,bess_energy_mwh,60,0.25,True,60
wind_capacity_factor_scale,-0.053369797591408676,bess_energy_mwh,60,0.25,True,60
wind_capex,-0.03918018936802812,bess_energy_mwh,60,0.25,True,60
BESS_energy_capex,-0.019245849380627792,bess_energy_mwh,60,0.25,True,60
grid_carbon_factor_scale,-0.9999999999999998,grid_import_mwh,60,0.25,True,60
demand_scale,,grid_import_mwh,60,0.25,True,60
PV_potential_scale,,grid_import_mwh,60,0.25,True,60
PV_capacity_factor_scale,,grid_import_mwh,60,0.25,True,60
wind_potential_scale,,grid_import_mwh,60,0.25,True,60
wind_capacity_factor_scale,,grid_import_mwh,60,0.25,True,60
grid_existing_capacity_scale,,grid_import_mwh,60,0.25,True,60
PV_capex,,grid_import_mwh,60,0.25,True,60
wind_capex,,grid_import_mwh,60,0.25,True,60
