parameter,prcc,target,n_samples,fixed_baseline_cap_ratio,source_valid_runs_only,source_valid_run_count,abs_prcc
BESS_energy_capex,-0.6257230606050856,actual_emissions_ton,31,0.14,True,31,0.6257230606050856
PV_potential_scale,0.5937284889237447,actual_emissions_ton,31,0.14,True,31,0.5937284889237447
grid_existing_capacity_scale,0.5528344158710742,actual_emissions_ton,31,0.14,True,31,0.5528344158710742
demand_scale,-0.41553061138894654,actual_emissions_ton,31,0.14,True,31,0.41553061138894654
DR_fraction,-0.3423628141730497,actual_emissions_ton,31,0.14,True,31,0.3423628141730497
grid_carbon_factor_scale,0.8472878101182542,bess_energy_mwh,31,0.14,True,31,0.8472878101182542
demand_scale,0.8425570556338957,bess_energy_mwh,31,0.14,True,31,0.8425570556338957
PV_potential_scale,-0.8249962315683751,bess_energy_mwh,31,0.14,True,31,0.8249962315683751
PV_capacity_factor_scale,-0.6413187601124454,bess_energy_mwh,31,0.14,True,31,0.6413187601124454
wind_capacity_factor_scale,-0.43613802749204084,bess_energy_mwh,31,0.14,True,31,0.43613802749204084
grid_carbon_factor_scale,-1.0,grid_import_mwh,31,0.14,True,31,1.0
demand_scale,,grid_import_mwh,31,0.14,True,31,
PV_potential_scale,,grid_import_mwh,31,0.14,True,31,
PV_capacity_factor_scale,,grid_import_mwh,31,0.14,True,31,
wind_potential_scale,,grid_import_mwh,31,0.14,True,31,
demand_scale,0.8793587052962066,total_system_cost,31,0.14,True,31,0.8793587052962066
grid_carbon_factor_scale,0.8394263529406596,total_system_cost,31,0.14,True,31,0.8394263529406596
PV_capacity_factor_scale,-0.8286840970954029,total_system_cost,31,0.14,True,31,0.8286840970954029
PV_potential_scale,-0.8178322970694843,total_system_cost,31,0.14,True,31,0.8178322970694843
BESS_energy_capex,0.7225984770011736,total_system_cost,31,0.14,True,31,0.7225984770011736
grid_existing_capacity_scale,-0.25895580623565967,actual_emissions_ton,60,0.25,True,60,0.25895580623565967
PV_capacity_factor_scale,-0.24748774444025637,actual_emissions_ton,60,0.25,True,60,0.24748774444025637
wind_capacity_factor_scale,0.23897484828464738,actual_emissions_ton,60,0.25,True,60,0.23897484828464738
wind_potential_scale,0.17362729128308368,actual_emissions_ton,60,0.25,True,60,0.17362729128308368
BESS_energy_capex,0.16227919219909703,actual_emissions_ton,60,0.25,True,60,0.16227919219909703
demand_scale,0.958991330161327,bess_energy_mwh,60,0.25,True,60,0.958991330161327
grid_carbon_factor_scale,0.9432434120689982,bess_energy_mwh,60,0.25,True,60,0.9432434120689982
PV_potential_scale,-0.8751401899294968,bess_energy_mwh,60,0.25,True,60,0.8751401899294968
PV_capacity_factor_scale,-0.6213269092292023,bess_energy_mwh,60,0.25,True,60,0.6213269092292023
BESS_power_capex,-0.19726400298656854,bess_energy_mwh,60,0.25,True,60,0.19726400298656854
grid_carbon_factor_scale,-0.9999999999999998,grid_import_mwh,60,0.25,True,60,0.9999999999999998
demand_scale,,grid_import_mwh,60,0.25,True,60,
PV_potential_scale,,grid_import_mwh,60,0.25,True,60,
PV_capacity_factor_scale,,grid_import_mwh,60,0.25,True,60,
wind_potential_scale,,grid_import_mwh,60,0.25,True,60,
demand_scale,0.9654778113349121,total_system_cost,60,0.25,True,60,0.9654778113349121
grid_carbon_factor_scale,0.8884729010161292,total_system_cost,60,0.25,True,60,0.8884729010161292
PV_potential_scale,-0.8248530484589566,total_system_cost,60,0.25,True,60,0.8248530484589566
PV_capex,0.778204326266547,total_system_cost,60,0.25,True,60,0.778204326266547
PV_capacity_factor_scale,-0.7572260275882117,total_system_cost,60,0.25,True,60,0.7572260275882117
