fixed_baseline_cap_ratio,flex_case,cost_delta_billion_cny,cost_delta_pct,bess_energy_delta_mwh,bess_power_delta_mw,pv_curtailment_delta_mwh,wind_curtailment_delta_mwh,peak_grid_import_delta_mw,DR_shifted_mwh,thermal_shifted_mwh
0.14,DR10_only,-0.03621324868204212,-0.003377193420601866,-119.9984777278114,-29.99961943195285,-328.9544877609005,6611.385008739424,33.303222661581685,76092.51470554239,0.0
0.14,DR10_thermal10_noEV,-0.06867409539038327,-0.006404443444291082,-220.80117799272557,-55.20029449818139,-1106.344414796331,12208.769621296786,101.94421811922143,67726.57034199884,74901.26932605455
0.14,thermal10_only,-0.03697417382909585,-0.0034481561619665946,-119.99847772780777,-29.999619431951942,-836.0768343316158,7118.507355309906,33.303222661581685,0.0,76092.51470554239
0.15,DR10_only,-0.0370445633998191,-0.0036739776383411353,-125.82941746614597,-31.457354366536492,-9347.247561272583,15393.484135325532,63.42737140365398,80537.76339521595,0.0
0.15,DR10_thermal10_noEV,-0.07007681011129563,-0.006950024772499691,-249.04072256360087,-62.26018064089931,3325.5211191131966,10538.272203077795,122.91126577026375,71732.91224401453,78932.23066965058
0.15,thermal10_only,-0.0378499410337767,-0.003753852771046702,-125.82941746615325,-31.45735436653831,-8687.3561746052,14733.592748658848,63.42737140365398,0.0,80537.76339521595
0.25,DR10_only,-0.03322115291761918,-0.005036730116114152,-124.78041865975683,-31.195104664939663,20200.560060762684,-2595.4025906828465,84.54947082626722,88136.0825678198,0.0
0.25,DR10_thermal10_noEV,-0.0634030955192566,-0.009612679049658582,-237.84023496300142,-59.46005874075081,45646.84827053384,-8950.097109128692,192.12591255042162,77843.1687935504,86841.09312827699
0.25,thermal10_only,-0.034102600617720746,-0.005170368288994255,-124.79391854195092,-31.198479635488184,20057.19236124505,-2444.022218799946,84.40011449514623,0.0,88147.87845354564
0.4,DR10_only,-0.044825438008350815,-0.008345940370811903,-157.5304570648368,-46.76866068778327,4114.145557692624,-462.73176929909096,63.460580964597966,151147.9209193869,0.0
0.4,DR10_thermal10_noEV,-0.0864775966355964,-0.016101055494368056,-311.9732451049995,-88.42229299914015,13408.391054257983,1397.1668460379879,225.7596434576251,136976.4355445903,152164.44107902766
0.4,thermal10_only,-0.04633732256249967,-0.008627434515590305,-158.27895188393995,-46.998188722180885,4348.393140094937,-397.77613611269044,63.459049112796265,0.0,151206.95645294848
