experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check,storage_short
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0021_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,0.0,0.05,0.05,optimal,True,,4.0653164999966975,873f2d9,2797.417614224501,500.66014237226,831.6242351012612,3138.380783676168,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,1.0,4827227.355775566,2360968.102971345,0.5109059654821209,0.0,0.0,0.0,1303970318.2167962,516815034.3677824,81078307.11810915,524525223.1389308,146320941.1610057,0.0,0.0,0.0,2602851295.955481,0.0,0.0,0.0,0.0,0.0,5175561119.958105,562919.5178558893,114403.08620703082,2770721.935323091,1226650.3272860874,1399115.9738244647,1527302.849395649,2926418.8232201138,608.316419624609,146320941.1610057,0.0,3.773796687507584,4.0,0.0,0.0,0.0,3949428.0745589575,2059.0565468982654,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.3609681029713454,5.175561119958105,1.0,liion 4h throughput only
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0022_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,0.0,0.05,0.05,optimal,True,,28.3796519000025,873f2d9,3453.763757222527,520.8928947262624,1275.8576529511472,5063.609867828479,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.4,1930890.9423102264,1930890.942310223,0.6000000000000008,0.182161360045423,0.0,0.0,1609915302.8317454,537700640.6268357,124388364.670935,846293448.4005181,195738412.1901688,0.0,0.0,0.0,1996447453.3417835,0.0,0.0,0.0,0.0,0.0,5310483622.061987,674052.5464132807,126286.46702912624,3441746.958107962,1268961.7970469275,1890242.3356573328,2024525.908146042,3914768.243803376,499.7733733913867,195738412.1901688,0.0,3.9687890385859257,4.000000000000001,0.0,0.0,0.0,3229994.885095721,2063.7364586293093,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.930890942310223,5.310483622061987,0.4,liion 4h throughput only
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0023_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438917,0.0,0.05,0.05,optimal,True,,32.78399989998434,873f2d9,4769.173169256404,512.5400232866982,2924.7511084132675,11699.00443365307,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.25,1206806.8389438917,1206806.8389438952,0.7499999999999992,0.4888508500283868,3.725290298461914e-09,3.086898564249117e-15,2223071815.779021,529078245.5632833,285145452.2403221,1955283101.0764945,257676968.0432897,0.0,0.0,0.0,1205165281.6681106,0.0,0.0,0.0,0.0,0.0,6455420864.370521,885157.6043134743,186354.94431123865,4798195.962054041,1186519.5659776249,2541007.239671488,2612532.1211943063,5153539.360865793,279.1404319925677,257676968.0432897,0.0,4.0,4.000000000000001,0.0,0.0,0.0,2018746.803184836,2141.828285016046,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438915,1.2068068389438953,6.45542086437052,0.25,liion 4h throughput only
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0024_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p15,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.15,724084.1033663348,0.0,0.05,0.05,optimal,True,,32.36970979999751,873f2d9,5126.507041934352,856.4955082351825,7044.362493191019,28177.44997276408,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.15,724084.1033663348,724084.1033663369,0.8499999999999996,0.6933105100170323,2.0954757928848267e-09,2.893967403983548e-15,2389637137.0582595,884132204.7867155,686782517.352547,4709365833.274609,324403480.01328146,0.0,0.0,0.0,751198955.8829263,0.0,0.0,0.0,0.0,0.0,9745520128.368338,912560.3078520847,687915.863878422,5196622.782333031,1606267.6105997243,3213610.431184983,3274459.1690806462,6488069.600265629,145.26062384307716,324403480.01328146,0.0,4.0,4.0,0.0,0.0,0.0,1211248.0819109017,1747.265926559557,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663369,9.745520128368335,0.15,liion 4h throughput only
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0025_k100_repday_opt_base_with_storage_degradation_liion_4h_throughput_only_baseline_capfix0p14,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_throughput_only,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,0.0,0.05,0.05,optimal,True,,35.93509129999438,873f2d9,5126.507041934352,856.4955082351825,7822.528057834937,31290.112231339743,0.0,0.0,0.0,3851.261635805,4827227.355775566,2360968.102971345,674001.4173518054,0.14,675811.8298085793,675811.8298085808,0.8599999999999997,0.7137564760158968,1.5133991837501522e-09,2.2393795387967925e-15,2389637137.0582595,884132204.7867155,762648929.0994991,5229592656.682281,332517284.1527956,0.0,0.0,0.0,748937605.1917164,0.0,0.0,0.0,0.0,0.0,10347465816.971268,759520.0845882202,637787.4492483758,5349663.005596897,1656396.0252297702,3355957.855463383,3294387.827592529,6650345.683055912,131.60658402388674,332517284.1527956,0.0,4.0,4.0,0.0,0.0,0.0,1130498.2097835075,1411.0084193446844,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085808,10.347465816971267,0.14,liion 4h throughput only
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0026_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix1p00,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_low,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,6.0,0.05,0.05,optimal,True,,4.1064979000075255,873f2d9,2762.580990987424,494.60485452688334,820.8748952754036,3009.8497692872725,0.0,0.0,0.0,3851.261635805,4827227.355775566,2394529.2911707307,674001.4173518054,1.0,4827227.355775566,2394529.2911707307,0.5039534882677981,0.0,0.0,0.0,1287731797.9268453,510564359.44669336,80030311.83498505,503043521.6980883,160151429.93340695,0.0,0.0,0.0,2652632138.732117,0.0,0.0,0.0,0.0,0.0,5194153559.572136,558909.4516393717,111712.06958304415,2733217.709672217,1213121.82941817,1359384.0959331044,1482462.530420562,2841846.626353666,615.6713142079874,142092331.3176833,18059098.615723632,3.6666363980804495,4.0,0.0,0.0,0.0,4005569.239161476,2059.0379753586503,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.3945292911707305,5.194153559572136,1.0,liion 4h calendar low
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0027_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p40,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_low,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,6.0,0.05,0.05,optimal,True,,44.838304099976085,873f2d9,3459.8874168211896,521.0836176136836,1271.490311413655,5042.05674997014,0.0,0.0,0.0,3851.261635805,4827227.355775566,2394529.2911707307,674001.4173518054,0.4,1930890.9423102264,1930890.9423102224,0.6000000000000009,0.1936240039201303,0.0,0.0,1612769746.2709074,537897517.6044003,123962575.42199212,842691223.3254771,225404234.8042208,0.0,0.0,0.0,1998063465.5965145,0.0,0.0,0.0,0.0,0.0,5340788763.023512,679881.1423215861,126462.0924082682,3443215.8373351013,1269297.0363393682,1885279.2160594345,2017758.6700285643,3903037.8860879983,500.232040734298,195151894.3044,30252340.49982084,3.965470050939148,4.000000000000001,0.0,0.0,0.0,3229994.885095721,2029.285935511473,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,1.9308909423102223,5.340788763023512,0.4,liion 4h calendar low
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0028_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p25,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_low,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438917,6.0,0.05,0.05,optimal,True,,44.09050890000072,873f2d9,4769.173858609391,512.5399753324078,2924.750754221453,11699.00301688581,0.0,0.0,0.0,3851.261635805,4827227.355775566,2394529.2911707307,674001.4173518054,0.25,1206806.8389438917,1206806.8389438945,0.7499999999999994,0.4960150024500792,2.7939677238464355e-09,2.3151739231868377e-15,2223072137.1096044,529078196.0616431,285145417.70877343,1955282864.2887323,327870963.00416714,0.0,0.0,0.0,1205165311.4684072,0.0,0.0,0.0,0.0,0.0,6525614889.641329,885158.5908586095,186354.92902421605,4798195.797000727,1186519.4528157068,2541006.8691594964,2612532.028897548,5153538.898057045,279.1404559352983,257676944.90285227,70194018.10131486,4.0,4.000000000000001,0.0,0.0,0.0,2018746.8031848343,2141.8271289017057,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438915,1.2068068389438944,6.525614889641329,0.25,liion 4h calendar low
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0029_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p15,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_low,,node_interface,baseline,4827227.355775566,0.15,724084.1033663348,6.0,0.05,0.05,optimal,True,,29.387360199994877,873f2d9,5126.507041934352,856.4955082351825,7044.362493191019,28177.44997276408,0.0,0.0,0.0,3851.261635805,4827227.355775566,2394529.2911707307,674001.4173518054,0.15,724084.1033663348,724084.1033663369,0.8499999999999996,0.6976090014700473,2.0954757928848267e-09,2.893967403983548e-15,2389637137.0582595,884132204.7867155,686782517.352547,4709365833.274609,493468179.8498659,0.0,0.0,0.0,751198955.8829262,0.0,0.0,0.0,0.0,0.0,9914584828.204922,912560.3078520844,687915.863878422,5196622.782333032,1606267.6105997243,3213610.431184984,3274459.1690806462,6488069.600265629,145.26062384307716,324403480.01328146,169064699.83658445,4.0,4.0,0.0,0.0,0.0,1211248.0819109017,1747.265926559557,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663369,9.91458482820492,0.15,liion 4h calendar low
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0030_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p14,R2B_storage_calendar_sensitivity,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_calendar_low,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,6.0,0.05,0.05,optimal,True,,20.597653700009687,873f2d9,5126.507041934352,856.4955082351825,7822.475814588376,31289.903258353504,0.0,0.0,0.0,3851.261635805,4827227.355775566,2394529.2911707307,674001.4173518054,0.14,675811.8298085793,675811.8298085807,0.8599999999999997,0.7177684013720445,1.3969838619232178e-09,2.067119574273962e-15,2389637137.0582595,884132204.7867155,762643835.7005689,5229557730.518187,520255977.7967539,0.0,0.0,0.0,748978588.555833,0.0,0.0,0.0,0.0,0.0,10535205474.41632,759360.4751363159,637961.5768235347,5349822.615048801,1656221.8976546114,3355943.3373401286,3294387.8275925294,6650331.164932657,131.60746297262128,332516558.2466329,187739419.55012104,4.0,4.0,0.0,0.0,0.0,1130498.2097835075,1411.0084193446844,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085807,10.53520547441632,0.14,liion 4h calendar low
