parameter,prcc,target,n_samples,fixed_baseline_cap_ratio,source_valid_runs_only,source_valid_run_count
demand_scale,0.8793587052962066,total_system_cost,31,0.14,True,31
grid_carbon_factor_scale,0.8394263529406596,total_system_cost,31,0.14,True,31
PV_capacity_factor_scale,-0.8286840970954029,total_system_cost,31,0.14,True,31
PV_potential_scale,-0.8178322970694843,total_system_cost,31,0.14,True,31
BESS_energy_capex,0.7225984770011736,total_system_cost,31,0.14,True,31
PV_capex,0.603065154891438,total_system_cost,31,0.14,True,31
BESS_degradation_cost,0.4835377835434016,total_system_cost,31,0.14,True,31
grid_existing_capacity_scale,-0.4030393059385723,total_system_cost,31,0.14,True,31
DR_fraction,0.3883695534743763,total_system_cost,31,0.14,True,31
BESS_power_capex,0.3877901390754462,total_system_cost,31,0.14,True,31
wind_capacity_factor_scale,-0.3141882273728131,total_system_cost,31,0.14,True,31
wind_capex,0.268286356280131,total_system_cost,31,0.14,True,31
wind_potential_scale,0.1723273903100509,total_system_cost,31,0.14,True,31
TOU_price_scale,0.0584132693716842,total_system_cost,31,0.14,True,31
BESS_energy_capex,-0.6257230606050856,actual_emissions_ton,31,0.14,True,31
PV_potential_scale,0.5937284889237447,actual_emissions_ton,31,0.14,True,31
grid_existing_capacity_scale,0.5528344158710742,actual_emissions_ton,31,0.14,True,31
demand_scale,-0.4155306113889465,actual_emissions_ton,31,0.14,True,31
DR_fraction,-0.3423628141730497,actual_emissions_ton,31,0.14,True,31
wind_capex,-0.244602206634043,actual_emissions_ton,31,0.14,True,31
TOU_price_scale,0.2229517447628818,actual_emissions_ton,31,0.14,True,31
BESS_power_capex,-0.2022249892588996,actual_emissions_ton,31,0.14,True,31
wind_capacity_factor_scale,-0.1678991192016195,actual_emissions_ton,31,0.14,True,31
grid_carbon_factor_scale,-0.1424062752018779,actual_emissions_ton,31,0.14,True,31
PV_capex,-0.0968021107090528,actual_emissions_ton,31,0.14,True,31
PV_capacity_factor_scale,0.0645545988323031,actual_emissions_ton,31,0.14,True,31
BESS_degradation_cost,0.0428814477463216,actual_emissions_ton,31,0.14,True,31
wind_potential_scale,0.0237425021954147,actual_emissions_ton,31,0.14,True,31
grid_carbon_factor_scale,0.8472878101182542,bess_energy_mwh,31,0.14,True,31
demand_scale,0.8425570556338957,bess_energy_mwh,31,0.14,True,31
PV_potential_scale,-0.8249962315683751,bess_energy_mwh,31,0.14,True,31
PV_capacity_factor_scale,-0.6413187601124454,bess_energy_mwh,31,0.14,True,31
wind_capacity_factor_scale,-0.4361380274920408,bess_energy_mwh,31,0.14,True,31
grid_existing_capacity_scale,-0.3324512147065482,bess_energy_mwh,31,0.14,True,31
BESS_power_capex,0.246499220531328,bess_energy_mwh,31,0.14,True,31
DR_fraction,0.2127171943979842,bess_energy_mwh,31,0.14,True,31
BESS_energy_capex,-0.2064594963419112,bess_energy_mwh,31,0.14,True,31
TOU_price_scale,0.1299508196088822,bess_energy_mwh,31,0.14,True,31
BESS_degradation_cost,0.107835454131527,bess_energy_mwh,31,0.14,True,31
wind_capex,0.0988792546464403,bess_energy_mwh,31,0.14,True,31
wind_potential_scale,-0.0514133941838297,bess_energy_mwh,31,0.14,True,31
PV_capex,0.03851538780303,bess_energy_mwh,31,0.14,True,31
grid_carbon_factor_scale,-1.0,grid_import_mwh,31,0.14,True,31
demand_scale,,grid_import_mwh,31,0.14,True,31
PV_potential_scale,,grid_import_mwh,31,0.14,True,31
PV_capacity_factor_scale,,grid_import_mwh,31,0.14,True,31
wind_potential_scale,,grid_import_mwh,31,0.14,True,31
wind_capacity_factor_scale,,grid_import_mwh,31,0.14,True,31
grid_existing_capacity_scale,,grid_import_mwh,31,0.14,True,31
PV_capex,,grid_import_mwh,31,0.14,True,31
wind_capex,,grid_import_mwh,31,0.14,True,31
BESS_power_capex,,grid_import_mwh,31,0.14,True,31
BESS_energy_capex,,grid_import_mwh,31,0.14,True,31
BESS_degradation_cost,,grid_import_mwh,31,0.14,True,31
TOU_price_scale,,grid_import_mwh,31,0.14,True,31
DR_fraction,,grid_import_mwh,31,0.14,True,31
demand_scale,0.965477811334912,total_system_cost,60,0.25,True,60
grid_carbon_factor_scale,0.8884729010161292,total_system_cost,60,0.25,True,60
PV_potential_scale,-0.8248530484589566,total_system_cost,60,0.25,True,60
PV_capex,0.778204326266547,total_system_cost,60,0.25,True,60
PV_capacity_factor_scale,-0.7572260275882117,total_system_cost,60,0.25,True,60
BESS_energy_capex,0.7502854188410217,total_system_cost,60,0.25,True,60
BESS_degradation_cost,0.5622694411320895,total_system_cost,60,0.25,True,60
wind_capacity_factor_scale,-0.4240684625895535,total_system_cost,60,0.25,True,60
TOU_price_scale,0.402635930780557,total_system_cost,60,0.25,True,60
BESS_power_capex,0.3009512587364976,total_system_cost,60,0.25,True,60
wind_capex,0.2574715053426462,total_system_cost,60,0.25,True,60
wind_potential_scale,-0.1993610080886936,total_system_cost,60,0.25,True,60
grid_existing_capacity_scale,0.1253435894479311,total_system_cost,60,0.25,True,60
DR_fraction,-0.0020270240421852,total_system_cost,60,0.25,True,60
grid_existing_capacity_scale,-0.2589558062356596,actual_emissions_ton,60,0.25,True,60
PV_capacity_factor_scale,-0.2474877444402563,actual_emissions_ton,60,0.25,True,60
wind_capacity_factor_scale,0.2389748482846473,actual_emissions_ton,60,0.25,True,60
wind_potential_scale,0.1736272912830836,actual_emissions_ton,60,0.25,True,60
BESS_energy_capex,0.162279192199097,actual_emissions_ton,60,0.25,True,60
grid_carbon_factor_scale,-0.1116530746829602,actual_emissions_ton,60,0.25,True,60
PV_capex,-0.0740474523577952,actual_emissions_ton,60,0.25,True,60
TOU_price_scale,0.0683022534008478,actual_emissions_ton,60,0.25,True,60
demand_scale,0.0444019604701129,actual_emissions_ton,60,0.25,True,60
BESS_power_capex,-0.0411133053924237,actual_emissions_ton,60,0.25,True,60
wind_capex,0.0331211754346247,actual_emissions_ton,60,0.25,True,60
DR_fraction,0.0284133263778054,actual_emissions_ton,60,0.25,True,60
PV_potential_scale,0.0027012778750877,actual_emissions_ton,60,0.25,True,60
BESS_degradation_cost,-0.0007487900613021,actual_emissions_ton,60,0.25,True,60
demand_scale,0.958991330161327,bess_energy_mwh,60,0.25,True,60
grid_carbon_factor_scale,0.9432434120689982,bess_energy_mwh,60,0.25,True,60
PV_potential_scale,-0.8751401899294968,bess_energy_mwh,60,0.25,True,60
PV_capacity_factor_scale,-0.6213269092292023,bess_energy_mwh,60,0.25,True,60
BESS_power_capex,-0.1972640029865685,bess_energy_mwh,60,0.25,True,60
BESS_degradation_cost,-0.1609390217140751,bess_energy_mwh,60,0.25,True,60
DR_fraction,0.1566845829055136,bess_energy_mwh,60,0.25,True,60
TOU_price_scale,0.1511820650296135,bess_energy_mwh,60,0.25,True,60
grid_existing_capacity_scale,0.0973099332799824,bess_energy_mwh,60,0.25,True,60
wind_potential_scale,-0.0774338400912421,bess_energy_mwh,60,0.25,True,60
PV_capex,0.0721684149728507,bess_energy_mwh,60,0.25,True,60
wind_capacity_factor_scale,-0.0533697975914086,bess_energy_mwh,60,0.25,True,60
wind_capex,-0.0391801893680281,bess_energy_mwh,60,0.25,True,60
BESS_energy_capex,-0.0192458493806277,bess_energy_mwh,60,0.25,True,60
grid_carbon_factor_scale,-0.9999999999999998,grid_import_mwh,60,0.25,True,60
demand_scale,,grid_import_mwh,60,0.25,True,60
PV_potential_scale,,grid_import_mwh,60,0.25,True,60
PV_capacity_factor_scale,,grid_import_mwh,60,0.25,True,60
wind_potential_scale,,grid_import_mwh,60,0.25,True,60
wind_capacity_factor_scale,,grid_import_mwh,60,0.25,True,60
grid_existing_capacity_scale,,grid_import_mwh,60,0.25,True,60
PV_capex,,grid_import_mwh,60,0.25,True,60
wind_capex,,grid_import_mwh,60,0.25,True,60
BESS_power_capex,,grid_import_mwh,60,0.25,True,60
