stress_window_type,stress_window_start,stress_window_end,window_hours,system_load_mwh,pv_potential_generation_mwh,wind_potential_generation_mwh,renewable_to_load_ratio,source_panel,source_run_id,validation_run_id,fixed_baseline_cap_ratio,cap_mode,cap_multiplier,annual_co2_cap_ton,stress_period_cap_ton_original,stress_period_cap_ton_used,stress_period_system_load_mwh,stress_period_load_share,actual_emissions_ton,cap_violation_ton,load_shedding_mwh,grid_import_mwh,peak_grid_import_mw,bess_throughput_mwh,pv_curtailment_mwh,wind_curtailment_mwh,is_valid_result,invalid_reason,solver_status,load_shedding_eliminated,carbon_cap_binding
peak_load_week,2017-01-13 09:00:00,2017-01-20 08:00:00,168.0,292218.425125,163133.91952634326,23751.950868055552,0.6395417069079613,windows,,,,,,,,,,,,,,,,,,,,,,,
renewable_scarcity_week,2017-01-30 17:00:00,2017-02-06 16:00:00,168.0,234427.4155,38910.32678971558,34803.066500757566,0.3144401568103844,windows,,,,,,,,,,,,,,,,,,,,,,,
high_pv_week,2017-02-18 13:00:00,2017-02-25 12:00:00,168.0,215381.460828125,217041.28077084792,18868.573189835854,1.095311792638181,windows,,,,,,,,,,,,,,,,,,,,,,,
peak_load_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_peak_load_week_prorated_cap_1p0,0.25,prorated_cap_1p0,1.0,1206806.8389438917,42829.03441505546,42829.03441505546,292218.425125,0.0354895522903535,42829.03441505547,7.275957614183426e-12,93540.50221126594,71644.42023261201,2092.469313448219,131808.3652532934,28811.81220000004,895.3378978279106,False,load_shedding,optimal,False,True
peak_load_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_peak_load_week_prorated_cap_1p25,0.25,prorated_cap_1p25,1.25,1206806.8389438917,42829.03441505546,53536.29301881933,292218.425125,0.0354895522903535,53536.29301881933,0.0,75629.39715311295,89555.52529076501,2528.7951985508207,131808.3652532934,28811.81220000004,895.3378978279106,False,load_shedding,optimal,False,True
peak_load_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_peak_load_week_prorated_cap_1p5,0.25,prorated_cap_1p5,1.5,1206806.8389438917,42829.03441505546,64243.55162258319,292218.425125,0.0354895522903535,64243.55162258314,0.0,57718.29209496005,107466.6303489179,2747.2482054173624,131808.3652532934,28811.81220000004,895.3378978279106,False,load_shedding,optimal,False,True
peak_load_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_peak_load_week_prorated_cap_2p0,0.25,prorated_cap_2p0,2.0,1206806.8389438917,42829.03441505546,85658.06883011092,292218.425125,0.0354895522903535,85658.06883011108,1.6007106751203534e-10,21896.08197865368,143288.84046522426,2747.2482054173624,131808.3652532934,28811.81220000004,895.3378978279106,False,load_shedding,optimal,False,True
peak_load_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_peak_load_week_no_carbon_cap,0.25,no_carbon_cap,,1206806.8389438917,42829.03441505546,,292218.425125,0.0354895522903535,100626.37227772376,0.0,0.0,168327.82247862793,3851.2005301921454,193135.2095211065,28811.98491562332,895.1651822046405,True,,optimal,True,False
renewable_scarcity_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_renewable_scarcity_week_prorated_cap_1p0,0.25,prorated_cap_1p0,1.0,1206806.8389438917,34358.88699347803,34358.88699347803,234427.4155,0.028470908421058,34358.88699347795,0.0,122575.5824398456,57475.555358778765,1916.293589298707,14781.821958463355,0.1946927978047599,0.0,False,load_shedding,optimal,False,True
renewable_scarcity_week,,,,,,,,relaxation,r3c_source_capfix0p25,r36a_capfix0p25_renewable_scarcity_week_prorated_cap_1p25,0.25,prorated_cap_1p25,1.25,1206806.8389438917,34358.88699347803,42948.608741847536,234427.4155,0.028470908421058,42948.60874184758,4.365574568510056e-11,108206.69360015064,71844.44419847372,1916.293589298707,14781.821958463355,0.1946927978047599,0.0,False,load_shedding,optimal,False,True
